photo_id,date,phase,phase_num
20230803.JPG,2023-08-03,o,0
20230804.JPG,2023-08-04,o,0
20230805.JPG,2023-08-05,o,0
20230806.JPG,2023-08-06,o,0
20230809.JPG,2023-08-09,p,1
20231003.JPG,2023-10-03,p,1
20231005.JPG,2023-10-05,o,0
20231006.JPG,2023-10-06,o,0
20231010.JPG,2023-10-10,p,1
20231014.JPG,2023-10-14,o,0
20231016.JPG,2023-10-16,p,1
20231017.JPG,2023-10-17,p,1
20231018.JPG,2023-10-18,p,1
20231019.JPG,2023-10-19,p,1
20231020.JPG,2023-10-20,p,1
20231021.JPG,2023-10-21,p,1
20231022.JPG,2023-10-22,t,2
20231023.JPG,2023-10-23,t,2
20231024.JPG,2023-10-24,t,2
20231026.JPG,2023-10-26,t,2
20231027.JPG,2023-10-27,t,2
20231028.JPG,2023-10-28,t,2
20231030.JPG,2023-10-30,t,2
20231031.JPG,2023-10-31,t,2
20231103.JPG,2023-11-03,t,2
20231104.JPG,2023-11-04,t,2
20231105.JPG,2023-11-05,p,1
20231106.JPG,2023-11-06,p,1
20231110.JPG,2023-11-10,o,0
20231116.JPG,2023-11-16,o,0
20231117.JPG,2023-11-17,o,0
20231118.JPG,2023-11-18,o,0
20231126.JPG,2023-11-26,o,0
20231128.JPG,2023-11-28,o,0
20231130.JPG,2023-11-30,o,0
20231207.JPG,2023-12-07,o,0
20231209.JPG,2023-12-09,o,0
20231218.JPG,2023-12-18,p,1
20231222.JPG,2023-12-22,p,1
20231223.JPG,2023-12-23,o,0
20231224.JPG,2023-12-24,o,0
20231228.JPG,2023-12-28,o,0
20231231.JPG,2023-12-31,o,0
20240102.JPG,2024-01-02,o,0
20240104.JPG,2024-01-04,o,0
20240117.JPG,2024-01-17,o,0
20240124.JPG,2024-01-24,o,0
20240125.JPG,2024-01-25,o,0
20240126.JPG,2024-01-26,p,1
20240128.JPG,2024-01-28,o,0
20240131.JPG,2024-01-31,p,1
20240202.JPG,2024-02-02,o,0
20240208.JPG,2024-02-08,o,0
20240213.JPG,2024-02-13,o,0
20240214.JPG,2024-02-14,p,1
20240215.JPG,2024-02-15,o,0
20240218.JPG,2024-02-18,p,1
20240219.JPG,2024-02-19,o,0
20240220.JPG,2024-02-20,o,0
20240221.JPG,2024-02-21,o,0
20240303.JPG,2024-03-03,o,0
20240305.JPG,2024-03-05,o,0
20240311.JPG,2024-03-11,o,0
20240312.JPG,2024-03-12,o,0
20240314.JPG,2024-03-14,o,0
20240401.JPG,2024-04-01,o,0
20240409.JPG,2024-04-09,o,0
20240419.JPG,2024-04-19,o,0
20240423.JPG,2024-04-23,o,0
20240428.JPG,2024-04-28,o,0
20240504.JPG,2024-05-04,o,0
20240505.JPG,2024-05-05,o,0
20240510.JPG,2024-05-10,o,0
20240517.JPG,2024-05-17,o,0
20240616.JPG,2024-06-16,o,0
20240621.JPG,2024-06-21,o,0
20240630.JPG,2024-06-30,o,0
20240707.JPG,2024-07-07,o,0
20240717.JPG,2024-07-17,o,0
20240718.JPG,2024-07-18,o,0
20240724.JPG,2024-07-24,p,1
20240726.JPG,2024-07-26,p,1
20240727.JPG,2024-07-27,t,2
20240728.JPG,2024-07-28,t,2
20240729.JPG,2024-07-29,t,2
20240730.JPG,2024-07-30,t,2
20240731.JPG,2024-07-31,t,2
20240802.JPG,2024-08-02,t,2
20240803.JPG,2024-08-03,t,2
20240804.JPG,2024-08-04,t,2
20240805.JPG,2024-08-05,t,2
20240806.JPG,2024-08-06,t,2
20240807.JPG,2024-08-07,p,1
20240809.JPG,2024-08-09,p,1
20240810.JPG,2024-08-10,o,0
20240822.JPG,2024-08-22,p,1
20240823.JPG,2024-08-23,p,1
20240827.JPG,2024-08-27,p,1
20240902.JPG,2024-09-02,t,2
20240903.JPG,2024-09-03,t,2
20240906.JPG,2024-09-06,t,2
20240907.JPG,2024-09-07,p,1
20240908.JPG,2024-09-08,p,1
20240910.JPG,2024-09-10,p,1
20240911.JPG,2024-09-11,t,2
20240912.JPG,2024-09-12,t,2
20240913.JPG,2024-09-13,t,2
20240915.JPG,2024-09-15,t,2
20240916.JPG,2024-09-16,t,2
20240917.JPG,2024-09-17,t,2
20240918.JPG,2024-09-18,t,2
20240919.JPG,2024-09-19,t,2
20240920.JPG,2024-09-20,p,1
20240921.JPG,2024-09-21,p,1
20240922.JPG,2024-09-22,p,1
20240923.JPG,2024-09-23,p,1
20240927.JPG,2024-09-27,t,2
20240928.JPG,2024-09-28,p,1
20241002.JPG,2024-10-02,p,1
20241004.JPG,2024-10-04,o,0
20241005.JPG,2024-10-05,o,0
20241006.JPG,2024-10-06,p,1
20241007.JPG,2024-10-07,p,1
20241008.JPG,2024-10-08,p,1
20241012.JPG,2024-10-12,t,2
20241016.JPG,2024-10-16,t,2
20241019.JPG,2024-10-19,t,2
20241023.JPG,2024-10-23,p,1
20241027.JPG,2024-10-27,o,0
20241028.JPG,2024-10-28,o,0
20241029.JPG,2024-10-29,o,0
20241102.JPG,2024-11-02,p,1
20241104.JPG,2024-11-04,t,2
20241106.JPG,2024-11-06,t,2
20241107.JPG,2024-11-07,t,2
20241109.JPG,2024-11-09,t,2
20241111.JPG,2024-11-11,t,2
20241112.JPG,2024-11-12,t,2
20241113.JPG,2024-11-13,t,2
20241115.JPG,2024-11-15,t,2
20241121.JPG,2024-11-21,o,0
20241124.JPG,2024-11-24,o,0
20241126.JPG,2024-11-26,o,0
20241127.JPG,2024-11-27,o,0
20241130.JPG,2024-11-30,o,0
20241203.JPG,2024-12-03,t,2
20241204.JPG,2024-12-04,p,1
20241206.JPG,2024-12-06,p,1
20241207.JPG,2024-12-07,p,1
20241211.JPG,2024-12-11,p,1
20241215.JPG,2024-12-15,p,1
20241216.JPG,2024-12-16,p,1
20241218.JPG,2024-12-18,p,1
20241221.JPG,2024-12-21,o,0
20241222.JPG,2024-12-22,o,0
20241223.JPG,2024-12-23,o,0
20241224.JPG,2024-12-24,o,0
20241225.JPG,2024-12-25,o,0
20241229.JPG,2024-12-29,o,0
20241230.JPG,2024-12-30,o,0
20250102.JPG,2025-01-02,o,0
20250106.JPG,2025-01-06,p,1
20250107.JPG,2025-01-07,o,0
20250108.JPG,2025-01-08,o,0
20250113.JPG,2025-01-13,p,1
20250120.JPG,2025-01-20,o,0
20250123.JPG,2025-01-23,o,0
20250129.JPG,2025-01-29,o,0
20250201.JPG,2025-02-01,o,0
20250209.JPG,2025-02-09,o,0
20250212.JPG,2025-02-12,p,1
20250213.JPG,2025-02-13,o,0
20250214.JPG,2025-02-14,o,0
20250215.JPG,2025-02-15,o,0
20250217.JPG,2025-02-17,o,0
20250220.JPG,2025-02-20,o,0
20250306.JPG,2025-03-06,o,0
20250308.JPG,2025-03-08,o,0
20250310.JPG,2025-03-10,o,0
20250312.JPG,2025-03-12,o,0
20250317.JPG,2025-03-17,o,0
20250319.JPG,2025-03-19,o,0
20250325.JPG,2025-03-25,o,0
20250327.JPG,2025-03-27,o,0
20250407.JPG,2025-04-07,p,1
20250408.JPG,2025-04-08,p,1
20250409.JPG,2025-04-09,p,1
20250410.JPG,2025-04-10,p,1
20250411.JPG,2025-04-11,p,1
20250413.JPG,2025-04-13,p,1
20250417.JPG,2025-04-17,p,1
20250418.JPG,2025-04-18,p,1
20250421.JPG,2025-04-21,p,1
20250423.JPG,2025-04-23,p,1
20250424.JPG,2025-04-24,p,1
20250425.JPG,2025-04-25,p,1
20250426.JPG,2025-04-26,p,1
20250427.JPG,2025-04-27,p,1
20250428.JPG,2025-04-28,p,1
20250503.JPG,2025-05-03,p,1
20250508.JPG,2025-05-08,p,1
20250513.JPG,2025-05-13,p,1
20250516.JPG,2025-05-16,t,2
20250520.JPG,2025-05-20,p,1
20250522.JPG,2025-05-22,p,1
20250525.JPG,2025-05-25,t,2
20250528.JPG,2025-05-28,t,2
20250601.JPG,2025-06-01,t,2
20250602.JPG,2025-06-02,p,1
20250603.JPG,2025-06-03,p,1
20250604.JPG,2025-06-04,p,1
20250610.JPG,2025-06-10,p,1
20250611.JPG,2025-06-11,p,1
20250613.JPG,2025-06-13,o,0
20250614.JPG,2025-06-14,o,0
20250615.JPG,2025-06-15,o,0
20250616.JPG,2025-06-16,o,0
20250619.JPG,2025-06-19,o,0
20250621.JPG,2025-06-21,o,0
20250624.JPG,2025-06-24,o,0
20250627.JPG,2025-06-27,o,0
20250702.JPG,2025-07-02,o,0
20250703.JPG,2025-07-03,o,0
20250706.JPG,2025-07-06,o,0
20250710.JPG,2025-07-10,p,1
20250713.JPG,2025-07-13,t,2
20250715.JPG,2025-07-15,t,2
20250716.JPG,2025-07-16,t,2
20250717.JPG,2025-07-17,t,2
20250718.JPG,2025-07-18,t,2
20250719.JPG,2025-07-19,t,2
20250720.JPG,2025-07-20,p,1
20250721.JPG,2025-07-21,p,1
